2:0:0	"מֵאֵימָתַי קוֹרִין וְכוּ' – פִּי' רָשִׁ""י וְאָנָן הִיכִי קַרִינָן מִבְּעוֹד יוֹם וְאֵין אָנוּ מַמְתִּינִין לָצֵאת הַכּוֹכָבִים כְּדִמְפָרַשׁ בַּגִמָרָא עַל כֵּן פֵּירֵשׁ רָשִׁ""י שֶׁקְּרִיאַת שָׁמַע שֶׁעַל הַמַּטֶּה עִיקָּר וְהוּא לְאַחַר צֵאת הַכּוֹכָבִים. וְהָכִי אִיתָּא בִּירוּשַׁלְמִי אִם קָרָא קוֹדֶם לָכֵן לֹא יָצָא וְאִם כֵּן לָמָּה אָנוּ מִתְפַּלְלִין קְרִיאַת שָׁמַע בְּבֵית הַכְּנֶסֶת כְּדֵי לַעֲמוֹד בִּתְפִלָה מִתּוֹךְ דִּבְרֵי תּוֹרָה. תֵּימָא לְפֵירוּשׁוֹ וְהַלֹּא אֵין הָעוֹלָם רְגִילִין לִקְרוֹת סָמוּךְ לִשְׁכִיבָה אֶלָּא פָּרָשָׁה רִאשׁוֹנָה (לְקַמָּן בְּרַכוֹת דַּף ס:) וְאִם כֵּן שָׁלֹשׁ פָּרְשִׁיּוֹת הָיָה לוֹ לִקְרוֹת. וְעוֹד קָשֶׁה דְּצָרִיךְ לְבָרֵךְ בִּקְרִיאַת שָׁמַע שְׁתַּיִם לְפָנֶיהָ וּשְׁתַּיִם לְאַחֲרֶיהָ בְּעַרְבִית. וְעוֹד דְּאוּתָהּ קְרִיאַת שָׁמַע סָמוּךְ לְמַטָּה אֵינָהּ אֶלָּא בִּשְׁבִיל הַמַּזִיקִין כְּדְאָמַר בְּסָמוּךְ (דַּף ה.) וְאִם תַּלְמִיד חָכָם הוּא אֵינוֹ צָרִיךְ. וְעוֹד קָשֶׁה דָּא״כ פַּסְקִינָן כְּרַבִּי יְהוֹשֻׁעַ בֶּן לֵוִי דְּאָמַר תְּפִלוֹת בְּאֶמְצַע תִּקְנוּם פ' בְּאֶמְצַע בֵּין שְׁנֵי קְרִיאַת שָׁמַע בֵּין קְרִיאַת שְׁמַע שֶׁל שַׁחֲרִית וּבֵין קְרִיאַת שְׁמַע שֶׁל עַרְבִית. וְאֲנָן קֵיְי״ל כַּר' יוֹחָנָן דְּאָמַר לְקַמָּן (בְּרַכוֹת דַף ד:) אֵיזֶהוּ בֶּן הָעוֹלָם הַבָּא זֶה הַסּוֹמֵךְ גְּאוּלָּה שֶׁל עַרְבִית לַתְפִלָה. לָכֵן פּי' ר״ת דָּאדְרְבָּה קְרִיאַת שְׁמַע שֶׁל בֵּית הַכְּנֶסֶת עִיקָּר. וְאִם תֹּאמַר הֵיאַךְ אָנוּ קוֹרִין כָּל כָּךְ מִבְּעוֹד יוֹם. וְיֵשׁ לוֹמַר דְּקַיְימָא לָן כְּרְבֵּי יְהוּדָה דְּאָמַר בְּפֶרֶק תְּפִלַת הַשַּׁחַר (בְּרַכוֹת דַּף כּוֹ.) דִּזְמָן תְּפִלַת מַנְחֶה עַד פֶּלֶג הַמַּנְחֶה דְּהַיְינוּ אַחַד עָשָׂר שָׁעוֹת פָּחוֹת רָבִיעַ וּמִיָּד כְּשֶׁיָּכְלָה זְמַן הַמַּנְחֶה מַתְחִיל זְמַן עַרְבִית. וְאִם תֹּאמַר הֵיאַךְ אָנוּ מִתְפַּלְלִין תְּפִלַת מַנְחֶה סָמוּךְ לַחֲשֵׁכָה וַאֲפִילּוּ לְאַחַר פֶּלֶג הַמַּנְחֶה. יֵשׁ לוֹמַר דְּקַיְימָא לָן כְּרַבְּנָן דְּאָמְרִי זְמַן תְּפִלַת הַמַּנְחֶה עַד הָעֶרֶב וְאָמְרִינָן לְקַמָּן (בְּרַכוֹת דַּף כָּז.) הַשְׁתָּא דְּלָא אֶתְמַר הַלְכְתָּא לֹא כָּמַר וְלֹא כֹּמַר דַּעְבֵד כְּמַר עָבַד וְדַעְבֵּד כְּמַר עָבֶד. מִכָּל מָקוֹם קָשִׁיא דָּהוּי כִּתְרִי קוֹלִי דַּסְתְּרָן אַהֲדְדִי שֶׁהֲרֵי מֵאֵיזֶה טַעַם אָנוּ מִתְפַּלְלִין עַרְבִית מִיָּד לְאַחַר פֶּלֶג הַמַּנְחֶה מִשּׁוּם דְּקַיְימָא לֶן דִּשְׁעַת הַמַּנְחָה כֻּלָה כְּדִבְרֵי רַבִּי יְהוּדָה וּמִיָּד הוֹי זְמַן עַרְבִית וּבִזְמַן הַתְפָּלָה עַצְמָהּ לֹא קָיימָא לָן כְּרְבֵּי יְהוּדָה אֶלָּא כְּרַבְּנָן. עַל כֵּן אוֹמֵר ר״י דּוַדָאי קְרִיאַת שְׁמַע שֶׁל בֵּית הַכְּנֶסֶת עִיקָּר וְאָנוּ שֶׁמִּתְפַּלְלִין עַרְבִית מִבְּעוֹד יוֹם סְבִירָא לָן כְּהֲנֵי תְּנַאֵי דְּגְמָרָא דְּאָמְרִי מִשָּׁעָה שֶׁקָּדַשׁ הַיּוֹם וְגַם מִשָּׁעָה שֶׁבְּנֵי אָדָם נִכְנָסִים לְהָסֵב דְּהַיְינוּ סְעוּדַת ע״שׁ וְהִיא הָיְתָה מִבְּעוֹד יוֹם וּמֵאוֹתָהּ שָׁעָה הוֹי זְמַן תְּפִלָה. וְגַם רְאִיָה (לְקַמָּן כָּז) דֶּרֶב הוֹי מַצְלִי שֶׁל שַׁבָּת בְּעֶרֶב שַׁבָּת וּמִסְתַּמָא גַּם הָיָה קוֹרֵא קְרִיאַת שְׁמַע. מִכָּל אוֹתָן הָרְאָיוֹת מַשְׁמָע דִּקְרִיאַת שְׁמַע שֶׁל בֵּית הַכְּנֶסֶת הִיא עִיקָּר. וְהָא דְּקָאָמַר בִּירוּשַׁלְמִי לָמָּה הָיוּ קוֹרִין בַּבְהכ״נ וְכוּ' אוֹמֵר ר״ת שֶׁהָיוּ רְגִילִין לִקְרוֹת ק״ש קוֹדֶם תְּפִלָתָם כְּמוֹ שֶׁאָנוּ רְגִילִין לוֹמַר אַשְׁרִי תְּחֲלָה וְאוֹתָהּ ק״ש אֵינָהּ אֶלָּא לַעֲמוֹד בִּתְפִלָה מִתּוֹךְ דִּבְרֵי תּוֹרָה. וּמִכָּאן נִרְאֶה מִי שֶׁקּוֹרֵא ק״ש עַל מִטָתוֹ שֶׁאֵין לְבָרֵךְ וְגַם אֵינוֹ צָרִיךְ  לִקְרוֹת אֶלָּא פָּרָשָׁה רִאשׁוֹנָה:     "
2:6:0	לִיתָנִי דִּשְׁחֲרִית בְּרִישָׁא – כְּדְאַשְׁכַּחַן בְּתָמִיד דִּכְתִיב שֶׁל בֹּקֶר תְּחֲלָה:
2:9:0	"אִי הָכִי סִיפָּא דְּקָתָנֵי שַׁחֲרִית בְּרִישָׁא - אִי אָמַרְתָּ בְּשֶׁלְּמָא דְּסָמִיךְ אֶקְרָא דִּבְשְׁכְבֵּךָ אַ""כ אֵינוֹ מַקְפִּיד קָרָא אֶלָּא אק""ש. אֶלָּא א""א דְּסָמִיךְ אֶקְרָא דִּבְרִיָּיתוֹ שֶׁל עוֹלָם אַ""כ קָפִיד אָכַל מִילִי אַ""כ סִיפָּא דְּקָתָנֵי וְכוּ':"
2:9:1	מְבָרֵךְ שְׁתַּיִם לְפָנֶיהָ וְכוּ' - (יְרוּשַׁלְמִי) וְשֶׁבַע בְּרָכוֹת הוֹי כְּנֶגֶד שֶׁבַע בַּיּוֹם הַלְּלְתִּיךְ (תְּהִילִּים קִי״ט:קס״ד) וְלֹא קָא חָשִׁיב יִרְאוּ עֵינֵינוּ דְּהָהִיא בְּרָכָה תַּקְּנוּ רַבָּנָן כְּדֵי לְהַמְתִּין לְחַבְרֵיהֶם בְּבֵית הַכְּנֶסֶת. וְדַוְקָא בְּבֵית הַכְּנֶסֶת שֶׁלָּהֶם שֶׁהָיוּ עוֹמְדִים בַּשָּׂדֶה וְהֵם מְסוּכָּנִים מִן הַמַּזִּיקִים אֲבָל בְּבָתֵּי כְּנֵסִיּוֹת שֶׁלָּנוּ אֵין צְרִיכִין לְהַמְתִּין לְחַבְרֵיהֶם אֶלָּא בַּלַּיְלָה:
2:12:0	"וְהָא קָמ""ל דִּכְפָּרָה לֹא מְעַכְבֵּא - וְא""ת הָא תְּנִינָא חֲדָא זִימְנָא בְּמַס' נְגָעִים (פי""ד) וּמִיִּיתִי לָהּ בְּהֶעָרֵל (דַּף עַד:) הֶעָרִיב שִׁמְשׁוּ אוֹכֶל בִּתְרוּמָה וִי""ל דַּרָגִילוֹת שֶׁל מִשְׁנִיּוֹת לְאֶשְׁמוּעִינָן בְּקוֹצֶר אַף לְמָה שֶׁמְּפוֹרָשׁ כְּבָר:"
3:0:0	"דִּילְמָא בִּיאַת אוֹרוֹ הוּא - פִּי' רָשִׁ""י עַד שֶׁיִּזְרַח אוֹרוֹ שֶׁל יוֹם הַשְּׁמִינִי וּמַאי וְטָהַר טָהַר גִּבְרָא שֶׁיְּטְהַר הָאִישׁ בַּהֲבָאַת קִרְבָּנוֹתָיו. וְתִימָא לְפֵירוּשׁוֹ לִפְרוֹךְ אַהַהִיא דְּהֶעָרֵל (דַּף עַד:) דְּהֶעָרִיב שִׁמְשׁוּ אוֹכֶל בִּתְרוּמָה וְכוּ' מִנְלַן דְּבִיאַת שִׁמְשׁוֹ הוּא. וְעוֹד הִיכִי מַצִּי לְמֵימָר דֶּמְיֵירִי בִּזְּרִיחָה דַּאי בַּזְּרִיחָה הוּא הֲוָה מִצִּי לְמִכְתָּב בִּקָרָא וְזֶרַח הַשֶּׁמֶשׁ וְטָהַר כְּמוֹ מִמִּזְרַח הַשֶּׁמֶשׁ (בַּמִדְבָּר כ״א:י״א) אוֹ לָשׁוֹן יְצִיאָה כְּמוֹ הַשֶּׁמֶשׁ יָצָא עַל הָאָרֶץ (בְּרֵאשִׁית י״ט:כ״ג) וְנָקַט בִּקְרָא וּבָא הַשֶּׁמֶשׁ אַלְמָא דְּהַיְינוּ שְׁקִיעַת הַחַמָּה. וְעוֹד דִּבְסְמוּךְ קָא מַבְעִיא לֵיהּ הָאִי וּבָא הַשֶּׁמֶשׁ אִי בִּיאַת אוֹרוֹ הוּא וּפָשִׁיט מִבְּרַיְיתָא זָכָר לְדָבֵּר וְכוּ'  תִּפְשׁוֹט מִמַּתְנִיתִין (דִּנְגָּעִים פי""ד) הֶעֱרִיב שִׁמְשׁוּ אוֹכֶל בִּתְרוּמָה אַלְמָא דְּהַיְינוּ בִּיאַת שֶׁמֶשׁ. וִי""ל דּה""פ מִמַּאי דְּהָאי וּבָא הַשֶּׁמֶשׁ וְטָהַר בִּיאַת שֶׁמֶשׁ הוּא מַמָּשׁ וּמַאי וְטָהַר טָהַר יוֹמָא דְּהַיְינוּ צֵאת הַכּוֹכָבִים דִּילְמָא בִּיאַת אוֹרוֹ הוּא דְּהַיְינוּ תְּחִלָּתָהּ שֶׁל שְׁקִיעַת הַחַמָּה וְהוּא תְּחִלַת הַכְנָסָתָהּ בָּרָקִיעַ וַעֲדַיִין יֵשׁ שְׁהוּת בְּיוֹם חָמֵשׁ מִילִין עַד צֵאת הַכּוֹכָבִים וּמַאי וְטָהַר טָהַר גָּבָרָא וְהִשְׁתָּא לְמַתְנִיתִין דְּהֶעָרָל לֹא קָשֶׁה מִידֵי דִּמְצִי לַמֵימַר הֶעָרִיב שִׁמְשׁוּ דַּהֲתָּם הַיְינוּ בִּיאַת אוֹרוֹ וְאַף   מַהַתַּם לֹא תִּפְשׁוֹט דְּהַיְינוּ צֵאת הַכּוֹכָבִים. מִשּׁוּם הָכִי אִיצְטָרִיךְ לְאִתוּיֵי הָכָא הַבְּרַיָיתָא דִּצְאַת הַכּוֹכָבִים:    "
3:1:0	אִם כֵּן לִימָּא קָרָא וִיטְהַר -   אַף עַל גַּב דִּבְכְמָה מְקוֹמוֹת כְּתִיב וְטָהַר. הָתָם לִיכָא לְמִיטָּעֵי אֲבָל הָכָא דְּאִיכָא לְמִיטָּעִי הֲוָה לֵיהּ לְמִכְתָּב וִיטְהַר:
3:4:0	"מִשָּׁעָה שֶׁהֶעָנִי נִכְנָס לֶאֱכוֹל פִּתוֹ בַּמֶּלַח - תִּימָא עָנִי גּוּפִיָה מָתַי יִתְפַּלֵל דְּהָא אִמְרַתּ זְמַן אֲכִילָתוֹ הַיְינוּ זְמַן ק""שׁ וְכֵיוָן שֶׁבָּא זְמַן ק""שׁ אָסוּר לְהַתְחִיל בִּסְּעוּדָה עַד שֶׁיִּתְפַּלֵל בְּרִישָׁא כְּדֶתָנִיא לְקַמָּן (בְּרַכוֹת דַף ד:) וְקוֹרֵא ק""ש וּמִתְפַּלֵל וְאוֹכֵל פְּתוֹ וּמְבָרֵךְ וְכָל הָעוֹבֵּר עַל דִּבְרֵי חֲכָמִים חַיָּיב מִיתָה וְיֵשׁ לוֹמַר דִּזְמַן תְּפִלָה הוֹי קוֹדֶם לִזְמַן סְעוּדָה דַּלְאוּ דַּוְקָא מִשְׁעָנִי נִכְנָס לֶאֱכוֹל אֶלָּא פּוּרְתָּא מֵעִיקָּרָא קָאָמַר שֶׁעַד שֶׁיָּכִינוּ לוֹ סְעוּדָתוֹ יִקְרָא וְיִתְפַּלֵל: "
3:7:0	"אָע""פּ שֶׁאֵין רְאָיָה לְדַבֵּר - רְאִיָּה גְּמוּרָה אֵינָהּ דְּהָא לֹא מְיָּירִי הָתָם לְעִנְיָן ק""ש:"
3:15:0	"וְאִי ס""ד דַּעָנֵי קֵדִים רַבִּי חֲנִינָא הַיְינוּ ר' אֱלִיעֶזֶר - וְלֹא מַצִּי לְמֵימַר דְּעָנֵי קֵדִים לִקָּדוֹשׁ הַיּוֹם אוֹ קָדוֹשׁ הַיּוֹם קָדִים לְשֶׁעוֹרָא דְּעָנִי. דֶּלָא מִסְתַּבְּרֵא לְחֵלֶק כָּל כָּךְ בְּשִׁעוּרֵי זְמַן שְׁכִיבָּה דְּכַל זְמַנִּים הַלָּלוּ אִית בֵּיהּ:"
